Date,RELIANCE.NS_rsi_14,RELIANCE.NS_sma_20,RELIANCE.NS_sma_50,RELIANCE.NS_bb_upper,RELIANCE.NS_bb_middle,RELIANCE.NS_bb_lower,TCS.NS_rsi_14,TCS.NS_sma_20,TCS.NS_sma_50,TCS.NS_bb_upper,TCS.NS_bb_middle,TCS.NS_bb_lower,INFY.NS_rsi_14,INFY.NS_sma_20,INFY.NS_sma_50,INFY.NS_bb_upper,INFY.NS_bb_middle,INFY.NS_bb_lower
2025-04-29,84.13867297192638,1263.687481689453,1244.2579956054688,1381.0209500443339,1263.687481689453,1146.3540133345723,72.02850906063536,3356.9249755859373,3519.6263330078127,3609.004105671809,3356.9249755859373,3104.8458455000655,57.769872549521416,1448.4304260253907,1593.2438891601562,1563.8430793098128,1448.4304260253907,1333.0177727409687
2025-04-30,97.49903564900337,1270.0274841308594,1247.66099609375,1403.285154374033,1270.0274841308594,1136.7698138876858,73.24957875134439,3347.1369750976564,3509.5191650390625,3569.856492984495,3347.1369750976564,3124.4174572108177,71.2873326887695,1443.3296875,1585.8371020507811,1541.788888652374,1443.3296875,1344.8704863476262
2025-05-02,97.48204317055011,1277.2624877929688,1251.72599609375,1426.4411635162717,1277.2624877929688,1128.083812069666,67.6918696523123,3338.4566284179687,3499.2276416015625,3535.993842681075,3338.4566284179687,3140.9194141548624,67.95402262216298,1440.1864135742187,1578.8109594726564,1527.8867164221235,1440.1864135742187,1352.4861107263139
2025-05-05,97.5633616157572,1286.197491455078,1256.0299975585938,1449.8598280686465,1286.197491455078,1122.5351548415097,78.28922207356692,3333.6741333007812,3490.1909619140624,3516.8646285468935,3333.6741333007812,3150.483638054669,77.02218871890634,1439.3038330078125,1572.2108227539063,1524.5656053065181,1439.3038330078125,1354.0420607091069
2025-05-06,92.90420526694423,1294.684991455078,1260.102998046875,1468.015315790275,1294.684991455078,1121.354667119881,81.94011299824064,3329.513623046875,3480.7776318359374,3498.836546198187,3329.513623046875,3160.1906998955633,76.67976284482647,1437.39814453125,1565.4085302734375,1515.6695565708442,1437.39814453125,1359.1267324916557
2025-05-07,86.20690573837095,1302.5499938964845,1263.7249975585937,1481.2855517328583,1302.5499938964845,1123.8144360601107,77.6621933149564,3331.5926513671875,3471.6705810546873,3504.162417344399,3331.5926513671875,3159.022885389976,73.1310371892948,1437.979962158203,1558.8212158203125,1517.6124483777912,1437.979962158203,1358.347475938615
2025-05-08,86.5677966552848,1312.6649963378907,1267.3569970703124,1490.9812769611,1312.6649963378907,1134.3487157146812,76.20464163017354,3339.0017944335937,3463.2593408203124,3513.213549451331,3339.0017944335937,3164.7900394158564,79.23859710876627,1440.9260131835938,1552.1047192382812,1523.8423672324552,1440.9260131835938,1358.0096591347324
2025-05-09,72.93431978148392,1323.2399963378907,1270.3519970703126,1489.5394909647314,1323.2399963378907,1156.94050171105,72.26071034433018,3347.241064453125,3456.4439208984377,3518.333691152528,3347.241064453125,3176.148437753722,76.61634868253745,1446.3916137695312,1546.1248559570313,1526.0139717826492,1446.3916137695312,1366.7692557564133
2025-05-12,76.8878518248148,1335.9549987792968,1274.4219970703125,1495.6031892579979,1335.9549987792968,1176.3068083005958,81.45260023676936,3363.4693115234377,3453.29193359375,3560.845074873104,3363.4693115234377,3166.0935481737715,84.72169958392018,1456.1591857910157,1542.2148706054688,1560.5362307101277,1456.1591857910157,1351.7821408719037
2025-05-13,72.33582934170553,1347.4724975585937,1278.1729956054687,1494.0762716848076,1347.4724975585937,1200.8687234323797,67.49827363275367,3376.7710815429687,3447.9196826171874,3568.6489771324905,3376.7710815429687,3184.893185953447,75.72334422846849,1464.2897888183593,1537.3552465820312,1570.392625215423,1464.2897888183593,1358.1869524212955
